Tick:    1 | PC: 0000 | Act: 0x0080006F | t0:0 a0:0 a1:0
Tick:  128 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  129 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  130 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  131 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  132 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  133 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  134 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  135 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  136 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  137 | PC: 0080 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  138 | PC: 0080 | Act: 0x004E8E93 | t0:65560 a0:65536 a1:0
Tick:  139 | PC: 0084 | Act: 0x01DE2023 | t0:65560 a0:65536 a1:0
Tick:  140 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  141 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  142 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  143 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  144 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  145 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  146 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  147 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  148 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  149 | PC: 0088 | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  150 | PC: 0088 | Act: 0x30200073 | t0:65560 a0:65536 a1:0
Tick:  150 | PC: 0088 | Act: TRAP FIRED! | t0:65560 a0:65536 a1:0
Tick:  151 | PC: 0004 | Act: 0x0600006F | t0:65560 a0:65536 a1:0
Tick:  152 | PC: 0064 | Act: 0x001023F3 | t0:65560 a0:65536 a1:0
Tick:  153 | PC: 0068 | Act: 0x00A00F13 | t0:65560 a0:65536 a1:0
Tick:  154 | PC: 006C | Act: 0x03E38063 | t0:65560 a0:65536 a1:0
Tick:  155 | PC: 0070 | Act: 0x00010E37 | t0:65560 a0:65536 a1:0
Tick:  156 | PC: 0074 | Act: 0x050E0E13 | t0:65560 a0:65536 a1:0
Tick:  157 | PC: 0078 | Act: 0x000E2E83 | t0:65560 a0:65536 a1:0
Tick:  158 | PC: 007C | Act: STALL      | t0:65560 a0:65536 a1:0
Tick:  159 | PC: 007C | Act: 0x007EA023 | t0:65560 a0:65536 a1:0
